https://www.leasebreak.com/short-term-rental-details/154674/17-26-woodbine-street,17-26 Woodbine Street,"Ridgewood, Queens","$4,200",2 MONTH MIN,Immediate,"Sep 03, 2019","BEDROOMS:
3","BATHROOMS:
2",Furnished Only,"['Renovated', 'Superb Views', 'Exceptional Light']",Short Term Rental,Professional Landlord ,Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.
https://www.leasebreak.com/short-term-rental-details/130113/17-26-woodbine-street,17-26 Woodbine Street,"Ridgewood, Queens","$1,400",6.5 MONTH MIN,Immediate,"Jan 12, 2020","BEDROOMS:
Just a Room","BATHROOMS:
2 (Shared)",Furnished Only,['Renovated'],Apartment Share,Professional Landlord ,Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.
https://www.leasebreak.com/short-term-rental-details/130957/61-47-woodbine-street,61-47 Woodbine Street,"Ridgewood, Queens","$1,100",2.5 MONTH MIN,Immediate,"Sep 17, 2019","BEDROOMS:
Just a Room","BATHROOMS:
2 (Shared)",Furnished Only,"['Renovated', 'Superb Views', 'Exceptional Light']",Apartment Share,Professional Landlord ,Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.
https://www.leasebreak.com/short-term-rental-details/154126/30-95-47th-street,30-95 47th Street,"Astoria, Queens","$1,090",12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020","BEDROOMS:
Just a Room","BATHROOMS:
2 (Shared)",Any,['Exceptional Light'],Apartment Share,Tenant/Renter ,,Townhouse/house,Yes
https://www.leasebreak.com/short-term-rental-details/126435/45-02-11th-street,"45-02 11th Street, Entire Building","Long Island City, Queens","$10,000",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
Entire Building","BATHROOMS:
N/A",Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Douglas Elliman],,Condop,Probably. Please confirm.
https://www.leasebreak.com/short-term-rental-details/146512/2-17-2nd-street,"2-17 2nd Street, 1105","Long Island City, Queens","$9,500",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
3","BATHROOMS:
3",Unfurnished Only,"['Doorman', 'Pet Friendly', 'Gym', 'Loft']",Standard 12 Month Rental,Agent/Broker [Modern Spaces],2572,,Condo
https://www.leasebreak.com/short-term-rental-details/152827/2-17-2nd-street,"2-17 2nd Street, 606","Long Island City, Queens","$6,995",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
2","BATHROOMS:
3",Unfurnished Only,"['Washer / Dryer', 'Doorman', 'Pet Friendly', 'Gym', 'Loft']",Standard 12 Month Rental,Agent/Broker [Compass],"Jessica Meis, (646) 460-XXXXClick to view",,Condo
https://www.leasebreak.com/short-term-rental-details/118834/48-15-11th-street,"48-15 11th Street, 8-A","Long Island City, Queens","$6,900",1 MONTH MIN,Immediate,"Aug 03, 2019","BEDROOMS:
3","BATHROOMS:
3",Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Doorman', 'Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Compass],"Martine Gerard, (646) 391-XXXXClick to view",2025,
https://www.leasebreak.com/short-term-rental-details/153200/28-40-jackson-avenue,"28-40 Jackson Avenue, 16-H","Long Island City, Queens","$6,649",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
3","BATHROOMS:
2",Unfurnished Only,"['Doorman', 'Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],,Rental building,Probably. Please confirm.
https://www.leasebreak.com/short-term-rental-details/144631/13-33-jackson-avenue,"13-33 Jackson Avenue, 10D","Long Island City, Queens","$6,500",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
3","BATHROOMS:
2",Unfurnished Only,"['Private Outdoor Space', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Standard 12 Month Rental,Agent/Broker [Corcoran Group],,Condo,Probably. Please confirm.
https://www.leasebreak.com/short-term-rental-details/149726/28-10-jackson-avenue,"28-10 Jackson Avenue, 23-N","Long Island City, Queens","$6,496",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
3","BATHROOMS:
2",Unfurnished Only,"['Elevator', 'Gym', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],,Condo,Probably. Please confirm.
https://www.leasebreak.com/short-term-rental-details/139524/22-22-jackson-avenue,"22-22 Jackson Avenue, PH-12","Other Queens, Queens","$6,139",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
3","BATHROOMS:
2",Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Standard 12 Month Rental,Agent/Broker [Triumph Property Group],"Nathan Connor, (347) 579-XXXXClick to view",,Rental building
https://www.leasebreak.com/short-term-rental-details/153918/28-30-jackson-avenue,"28-30 Jackson Avenue, PH-4N","Long Island City, Queens","$5,917",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
2","BATHROOMS:
2",Unfurnished Only,"['Doorman', 'Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],,Rental building,Probably. Please confirm.
https://www.leasebreak.com/short-term-rental-details/145908/46-30-center-boulevard,"46-30 Center Boulevard, 1502","Long Island City, Queens","$5,500",12 MONTH MIN,Immediate,"Jul 03, 2020","BEDROOMS:
2","BATHROOMS:
2",Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Doorman', 'Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Compass],"Rachelle Pena, (917) 693-XXXXClick to view",1159,
