,link,address,price,minimun_rent_range,movein,moveout,bedroom,bathroom,furnishied,amenity,listingtype,postedby,kind,renew,broker,borough1,borough2,coordinates
1600,https://www.leasebreak.com/short-term-rental-details/151691/190-meserole-street,"190 Meserole Street, 4",2375,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Elevator', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],"David Levy, (718) 384-XXXXClick to view",,Condo,Williamsburg, Brooklyn,"{'lat': 40.708046, 'lng': -73.941469}"
1601,https://www.leasebreak.com/short-term-rental-details/154882/4600-9th-avenue,"4600 9th Avenue, 609",2369,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,['Elevator'],Standard 12 Month Rental,Agent/Broker [Keller Williams NYC],"Ethan Karavani, (201) 815-XXXXClick to view",,Rental building,Sunset Park, Brooklyn,"{'lat': 40.8727968, 'lng': -73.9119728}"
1602,https://www.leasebreak.com/short-term-rental-details/154646/363-bond-street,"363 Bond Street, B255",2355,12 MONTH MIN,"Jul 10, 2019","Jul 09, 2020",Studio,1,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],,Condop,Probably. Please confirm.,Gowanus, Brooklyn,"{'lat': 40.677981, 'lng': -73.990079}"
1603,https://www.leasebreak.com/short-term-rental-details/151061/572-monroe-street,"572 Monroe Street, 3",2350,12 MONTH MIN,"Jul 15, 2019","Jul 14, 2020",1,1,Unfurnished Only,"['Washer / Dryer', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Warren Lewis Sothebys Internat...],,Townhouse/house,Probably. Please confirm.,Bedford-Stuyvesant, Brooklyn,"{'lat': 40.687077, 'lng': -73.934489}"
1604,https://www.leasebreak.com/short-term-rental-details/154686/417-hancock-street,"417 Hancock Street, 2",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Private Outdoor Space', 'Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],,Townhouse/house,Probably. Please confirm.,Bedford-Stuyvesant, Brooklyn,"{'lat': 40.6839596, 'lng': -73.9393453}"
1605,https://www.leasebreak.com/short-term-rental-details/153166/468-state-street,"468 State Street, 1F",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Private Outdoor Space', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],,Condop,Probably. Please confirm.,Boerum Hill, Brooklyn,"{'lat': 40.686311, 'lng': -73.981833}"
1606,https://www.leasebreak.com/short-term-rental-details/154706/651-new-york-avenue,"651 New York Avenue, 205",2350,12 MONTH MIN,Immediate,"Jul 03, 2020",1,1,Unfurnished Only,"['Private Outdoor Space', 'Pet Friendly', 'Gym', 'Loft']",Standard 12 Month Rental,Agent/Broker [Compass],"Grace Rahmé, (949) 275-XXXXClick to view",,Condo,Prospect Lefferts Gardens, Brooklyn,"{'lat': 40.6583517, 'lng': -73.9470266}"
1607,https://www.leasebreak.com/short-term-rental-details/146520/39-granite-street,"39 Granite Street, 2-L",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,"['Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Keller Williams NYC],"Ethan Karavani, (201) 815-XXXXClick to view",,Condo,Bushwick, Brooklyn,"{'lat': 40.68294059999999, 'lng': -73.9077172}"
1608,https://www.leasebreak.com/short-term-rental-details/149601/1384-madison-street,"1384 Madison Street, 1-R",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Private Outdoor Space', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],"Joaquin Esquilin, (347) 219-XXXXClick to view",,Townhouse/house,Bushwick, Brooklyn,"{'lat': 40.6973541, 'lng': -73.9105154}"
1609,https://www.leasebreak.com/short-term-rental-details/145774/282-east-2nd-street,"282 East 2nd Street, 1R",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,"['Private Outdoor Space', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Tyler Vincent Real Estate],700,,Rental building,Kensington, Brooklyn,"{'lat': 40.7209671, 'lng': -73.9805009}"
1610,https://www.leasebreak.com/short-term-rental-details/154739/1269-rogers-avenue,"1269 Rogers Avenue, 2",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",3,2,Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Corcoran Group],,Townhouse/house,Probably. Please confirm.,Flatbush, Brooklyn,"{'lat': 40.638889, 'lng': -73.95091839999999}"
1611,https://www.leasebreak.com/short-term-rental-details/145013/474-east-new-york-avenue,"474 East New York Avenue, 2-F",2350,1 MONTH MIN,Immediate,"Aug 02, 2019",2,1,Unfurnished Only,"['Pet Friendly', 'Elevator']",Short Term Rental,Agent/Broker [Compass],,Rental building,Probably. Please confirm.,East Flatbush, Brooklyn,"{'lat': 40.66154299999999, 'lng': -73.947025}"
1612,https://www.leasebreak.com/short-term-rental-details/130699/479-clinton-avenue,"479 Clinton Avenue, 3-D",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Compass],"Ed Hardesty, (917) 749-XXXXClick to view",,Rental building,Clinton Hill, Brooklyn,"{'lat': 40.6840123, 'lng': -73.9667616}"
1613,https://www.leasebreak.com/short-term-rental-details/151957/102-bay-11th-street,"102 Bay 11th Street, 1-FL",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",3,2,Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Rutenberg],1100,,Rental building,Other Brooklyn, Brooklyn,"{'lat': 40.6085338, 'lng': -74.01048}"
1614,https://www.leasebreak.com/short-term-rental-details/154547/52-clark-street,"52 Clark Street, 6-N",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",Studio,1,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly']",Standard 12 Month Rental,Agent/Broker [Cooper & Cooper],,Rental building,Probably. Please confirm.,Brooklyn Heights, Brooklyn,"{'lat': 40.6974959, 'lng': -73.99409059999999}"
1615,https://www.leasebreak.com/short-term-rental-details/155070/705-st-marks-avenue,"705 St Marks Avenue, 2-B",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Keller Williams NYC],"Ethan Karavani, (201) 815-XXXXClick to view",,Rental building,Crown Heights, Brooklyn,"{'lat': 40.6754484, 'lng': -73.9494375}"
1616,https://www.leasebreak.com/short-term-rental-details/149955/671-decatur-street,"671 Decatur Street, 1-L",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",3,1,Unfurnished Only,"['Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],,Rental building,Probably. Please confirm.,Bedford-Stuyvesant, Brooklyn,"{'lat': 40.6836164, 'lng': -73.9163025}"
1617,https://www.leasebreak.com/short-term-rental-details/148184/202a-29th-street,"202A 29th Street, 1",2350,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Private Outdoor Space', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],"Audrey Kellar, (347) 661-XXXXClick to view",,Condop,Greenwood, Brooklyn,"{'lat': 40.7457812, 'lng': -73.98747589999999}"
1618,https://www.leasebreak.com/short-term-rental-details/150628/515-ocean-avenue,"515 Ocean Avenue, 2GA",2325,13 MONTH MIN,"Jul 31, 2019","Aug 30, 2020",1,1,Unfurnished Only,"['Washer / Dryer', 'Pet Friendly', 'Elevator']",Standard 12 Month Rental,Agent/Broker [BOLD New York],,Rental building,Probably. Please confirm.,Flatbush, Brooklyn,"{'lat': 40.6503047, 'lng': -73.9607762}"
1619,https://www.leasebreak.com/short-term-rental-details/143822/1664-atlantic-avenue,"1664 Atlantic Avenue, 2",2325,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Douglas Elliman],,Condop,Probably. Please confirm.,Crown Heights, Brooklyn,"{'lat': 40.6773661, 'lng': -73.9356636}"
1620,https://www.leasebreak.com/short-term-rental-details/155099/108-prospect-place,"108 Prospect Place, 4F",2325,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",1,1,Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Halstead],,Condo,Probably. Please confirm.,Park Slope, Brooklyn,"{'lat': 40.6786777, 'lng': -73.9741615}"
