,link,address,price,minimun_rent_range,movein,moveout,bedroom,bathroom,furnishied,amenity,listingtype,postedby,kind,renew,broker,borough1,borough2,coordinates
4900,https://www.leasebreak.com/short-term-rental-details/147963/120-macdougal-street,"120 Macdougal Street, 14",3900,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,"['Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Keller Williams],,Rental building,Probably. Please confirm.,Greenwich Village / Noho, Manhattan,"{'lat': 40.7298332, 'lng': -74.00042619999999}"
4901,https://www.leasebreak.com/short-term-rental-details/145916/146-west-57th-street,"146 West 57th Street, 55-F",3900,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",1,1.5,Unfurnished Only,"['Doorman', 'Elevator', 'Gym', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Engel & Volkers NYC],808,,Condo,Midtown West, Manhattan,"{'lat': 40.7648589, 'lng': -73.97924909999999}"
4902,https://www.leasebreak.com/short-term-rental-details/149758/457-west-57th-street,"457 West 57th Street, 202",3900,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly']",Standard 12 Month Rental,Agent/Broker [Corcoran Group],800,,Coop,Midtown West, Manhattan,"{'lat': 40.7689628, 'lng': -73.98757119999999}"
4903,https://www.leasebreak.com/short-term-rental-details/148010/252-south-street,"252 South Street, 30-P",3895,1 MONTH MIN,Immediate,"Aug 01, 2019",1,1,Unfurnished Only,"['Washer / Dryer', 'Doorman', 'Elevator', 'Gym', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Compass],"Ariel Dagan, (917) 609-XXXXClick to view","Daniel Karp, (914) 806-XXXXClick to view",,Lower East Side, Manhattan,"{'lat': 40.7110409, 'lng': -73.99117439999999}"
4904,https://www.leasebreak.com/short-term-rental-details/149560/151-ludlow-street,"151 Ludlow Street, 1",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [MNS],,Rental building,Probably. Please confirm.,Lower East Side, Manhattan,"{'lat': 40.7208552, 'lng': -73.98813779999999}"
4905,https://www.leasebreak.com/short-term-rental-details/152900/214-east-24th-street,"214 East 24th Street, PHH",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,['Elevator'],Standard 12 Month Rental,Agent/Broker [FirstService Realty],,Rental building,Probably. Please confirm.,Gramercy Park, Manhattan,"{'lat': 40.73903840000001, 'lng': -73.982112}"
4906,https://www.leasebreak.com/short-term-rental-details/146284/120-riverside-boulevard,"120 Riverside Boulevard, 6J",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],798,,Condo,Upper West Side, Manhattan,"{'lat': 40.7764061, 'lng': -73.98911}"
4907,https://www.leasebreak.com/short-term-rental-details/145261/252-south-street,"252 South Street, 27J",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Pet Friendly', 'Doorman', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],"Nora Leonhardt, (917) 612-XXXXClick to view",,Condo,Lower East Side, Manhattan,"{'lat': 40.71056979999999, 'lng': -73.9913031}"
4908,https://www.leasebreak.com/short-term-rental-details/131695/120-christopher-street,"120 Christopher Street, 10",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,"['Washer / Dryer', 'Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],"Joshua Winston, (516) 592-XXXXClick to view",,Condop,West Village / Meatpacking District, Manhattan,"{'lat': 40.7330743, 'lng': -74.00561669999999}"
4909,https://www.leasebreak.com/short-term-rental-details/141426/202-mott-street,"202 Mott Street, 23",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",3,1,Unfurnished Only,"['Elevator', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],900,,Condo,Soho / Nolita, Manhattan,"{'lat': 40.7213922, 'lng': -73.99541599999999}"
4910,https://www.leasebreak.com/short-term-rental-details/147831/295-park-avenue-south,"295 Park Avenue South, 17PHP",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Elevator', 'Doorman', 'High-rise']",Standard 12 Month Rental,Agent/Broker [FirstService Realty],,Rental building,Probably. Please confirm.,Gramercy Park, Manhattan,"{'lat': 40.7398358, 'lng': -73.9863259}"
4911,https://www.leasebreak.com/short-term-rental-details/149175/245-east-44th-street,"245 East 44th Street, 15B",3895,13 MONTH MIN,Immediate,"Aug 02, 2020",1,1,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly']",Standard 12 Month Rental,Agent/Broker [Mirador Real Estate],,Rental building,Probably. Please confirm.,Midtown East, Manhattan,"{'lat': 40.7516375, 'lng': -73.9717605}"
4912,https://www.leasebreak.com/short-term-rental-details/147400/1160-3rd-avenue,"1160 3rd Avenue, 16D",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Elevator', 'Doorman', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],"Lori E Mcnichol, (917) 822-XXXXClick to view",,Coop,Upper East Side, Manhattan,"{'lat': 40.7670625, 'lng': -73.9628264}"
4913,https://www.leasebreak.com/short-term-rental-details/155087/315-west-33rd-street,"315 West 33rd Street, 10F",3895,12 MONTH MIN,Immediate,"Jul 03, 2020",1,1,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],670,,Condop,Chelsea / Hudson Yards, Manhattan,"{'lat': 40.7520318, 'lng': -73.99462079999999}"
4914,https://www.leasebreak.com/short-term-rental-details/154321/235-east-4th-street,"235 East 4th Street, 5-F",3895,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",2,1,Unfurnished Only,"['Pet Friendly', 'Elevator', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],"Anthony Dellecave, (212) 937-XXXXClick to view",,Condo,East Village, Manhattan,"{'lat': 40.72350590000001, 'lng': -73.98267589999999}"
4915,https://www.leasebreak.com/short-term-rental-details/155122/330-east-39th-street,"330 East 39th Street, 34H",3895,13 MONTH MIN,"Jul 23, 2019","Aug 22, 2020",1,1,Unfurnished Only,"['Elevator', 'Doorman', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Mirador Real Estate],,Rental building,Probably. Please confirm.,Murray Hill / Kips Bay, Manhattan,"{'lat': 40.7471875, 'lng': -73.9722819}"
4916,https://www.leasebreak.com/short-term-rental-details/152563/252-south-street,"252 South Street, 27K",3895,12 MONTH MIN,Immediate,"Jul 03, 2020",1,1,Unfurnished Only,"['Pet Friendly', 'Doorman', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],"Nora Leonhardt, (917) 612-XXXXClick to view",,Condo,Lower East Side, Manhattan,"{'lat': 40.7110409, 'lng': -73.99117439999999}"
4917,https://www.leasebreak.com/short-term-rental-details/123638/15-william-street,"15 William Street, 33D",3895,12 MONTH MIN,Immediate,"Jul 03, 2020",Studio,1,Unfurnished Only,"['Renovated', 'Superb Views', 'Exceptional Light', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Standard 12 Month Rental,Agent/Broker [Oxford Property Group],Condo,Yes,The poster of this listing is charging a brokerage fee.,Financial District, Manhattan,"{'lat': 40.7052612, 'lng': -74.0103446}"
4918,https://www.leasebreak.com/short-term-rental-details/151547/1557-lexington-avenue,"1557 Lexington Avenue, 3S",3895,12 MONTH MIN,Immediate,"Jul 02, 2020",3,1,Unfurnished Only,"['Washer / Dryer', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Bold New York],,Rental building,Probably. Please confirm.,East Harlem, Manhattan,"{'lat': 40.7879903, 'lng': -73.9490931}"
4919,https://www.leasebreak.com/short-term-rental-details/150781/301-east-45th-street,"301 East 45th Street, 11-E",3895,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",2,1,Unfurnished Only,"['Elevator', 'Doorman']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],,Condo,Probably. Please confirm.,Midtown East, Manhattan,"{'lat': 40.7517836, 'lng': -73.97035749999999}"
4920,https://www.leasebreak.com/short-term-rental-details/150805/165-mulberry-street,"165 Mulberry Street, 10",3890,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",2,1,Unfurnished Only,"['Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Bond New York],,Rental building,Probably. Please confirm.,Little Italy / Chinatown, Manhattan,"{'lat': 40.719862, 'lng': -73.997373}"
4921,https://www.leasebreak.com/short-term-rental-details/151792/295-greenwich-street,"295 Greenwich Street, 5C",3890,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",1,1,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],684,,Condo,Tribeca, Manhattan,"{'lat': 40.716058, 'lng': -74.01079419999999}"
4922,https://www.leasebreak.com/short-term-rental-details/151678/155-east-31st-street,155 East 31st Street,3878,3.5 MONTH MIN,Immediate,"Oct 11, 2019",1,1,Unfurnished Only,"['Renovated', 'Superb Views', 'Exceptional Light', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Lease Assignment,Tenant/Renter ,,Rental building,Yes,Murray Hill / Kips Bay, Manhattan,"{'lat': 40.7444089, 'lng': -73.9802622}"
4923,https://www.leasebreak.com/short-term-rental-details/153130/252-south-street,"252 South Street, 25J",3877,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",1,1,Any,"['Renovated', 'Superb Views', 'Exceptional Light', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Standard 12 Month Rental,Agent/Broker [Spire],Condo,Yes,The poster of this listing is charging a brokerage fee.,Financial District, Manhattan,"{'lat': 40.71056979999999, 'lng': -73.9913031}"
