,link,address,price,minimun_rent_range,movein,moveout,bedroom,bathroom,furnishied,amenity,listingtype,postedby,kind,renew,broker,borough1,borough2,coordinates
5300,https://www.leasebreak.com/short-term-rental-details/154159/171-east-117th-street,"171 East 117th Street, 3",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",3,1,Unfurnished Only,"['Private Outdoor Space', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],1100,,Condop,East Harlem, Manhattan,"{'lat': 40.799193, 'lng': -73.940285}"
5301,https://www.leasebreak.com/short-term-rental-details/20016/136-west-117th-street,"136 West 117th Street, 3",3500,2 MONTH MIN,Immediate,"Sep 04, 2019",2,1,Furnished Only,[],Short Term Rental,Agent/Broker [New York Habitat],Townhouse/house,Not Sure,The poster of this listing is charging a brokerage fee.,East Harlem, Manhattan,"{'lat': 40.8031427, 'lng': -73.9507003}"
5302,https://www.leasebreak.com/short-term-rental-details/150836/321-west-37th-street,"321 West 37th Street, 6-A",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Elevator', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],"David A. Palmieri, (646) 484-XXXXClick to view",640,,Midtown West, Manhattan,"{'lat': 40.7545459, 'lng': -73.993096}"
5303,https://www.leasebreak.com/short-term-rental-details/134966/521-west-48th-street,"521 West 48th Street, 6G",3500,1 MONTH MIN,"Jul 31, 2019","Aug 30, 2019",Studio,1,Furnished Only,['Elevator'],Short Term Rental,Agent/Broker [APT212],Rental building,Yes,The poster of this listing is charging a brokerage fee.,Midtown West, Manhattan,"{'lat': 40.7640863, 'lng': -73.9937234}"
5304,https://www.leasebreak.com/short-term-rental-details/134967/521-west-48th-street,"521 West 48th Street, 7B",3500,1.5 MONTH MIN,"Aug 03, 2019","Sep 11, 2019",Studio,1,Furnished Only,['Elevator'],Short Term Rental,Agent/Broker [APT212],Rental building,Yes,The poster of this listing is charging a brokerage fee.,Midtown West, Manhattan,"{'lat': 40.764108, 'lng': -73.993708}"
5305,https://www.leasebreak.com/short-term-rental-details/153655/170-east-2nd-street,"170 East 2nd Street, 2B",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",2,1,Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Pet Friendly', 'Elevator']",Standard 12 Month Rental,Agent/Broker [Keller Williams],"Ade Ogunlowo, (347) 703-XXXXClick to view",,Rental building,East Village, Manhattan,"{'lat': 40.7227341, 'lng': -73.9846788}"
5306,https://www.leasebreak.com/short-term-rental-details/153144/252-west-20th-street,"252 West 20th Street, 3-B",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Furnished Only,"['Pet Friendly', 'Elevator']",Standard 12 Month Rental,Agent/Broker [Citi Habitats],"Patrick Craig, (212) 683-XXXXClick to view",,Coop,Chelsea / Hudson Yards, Manhattan,"{'lat': 40.7429897, 'lng': -73.9995153}"
5307,https://www.leasebreak.com/short-term-rental-details/12859/488-7th-avenue,"488 7th Avenue, 3E",3500,1 MONTH MIN,"Jul 30, 2019","Aug 29, 2019",Studio,1,Furnished Only,"['Renovated', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Short Term Rental,Agent/Broker [Oxford Property Group],Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.,Midtown West, Manhattan,"{'lat': 40.7526014, 'lng': -73.9898341}"
5308,https://www.leasebreak.com/short-term-rental-details/145984/107-east-37th-street,"107 East 37th Street, 6",3500,12 MONTH MIN,"Jul 20, 2019","Jul 19, 2020",1,1,Unfurnished Only,"['Pet Friendly', 'Elevator']",Standard 12 Month Rental,Agent/Broker [Compass],520,,Townhouse/house,Murray Hill / Kips Bay, Manhattan,"{'lat': 40.748905, 'lng': -73.97916699999999}"
5309,https://www.leasebreak.com/short-term-rental-details/137538/36-west-85th-street,"36 West 85th Street, 4",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Corcoran Group],,Townhouse/house,Probably. Please confirm.,Upper West Side, Manhattan,"{'lat': 40.7849871, 'lng': -73.97116849999999}"
5310,https://www.leasebreak.com/short-term-rental-details/151107/1-west-street,1 West Street,3500,11 MONTH MIN,Immediate,"May 31, 2020",1,1,Any,"['Renovated', 'Superb Views', 'Private Outdoor Space', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Lease Assignment,Tenant/Renter ,,Rental building,Yes,Battery Park City, Manhattan,"{'lat': 40.705242, 'lng': -74.01612349999999}"
5311,https://www.leasebreak.com/short-term-rental-details/25925/32-west-132nd-street,"32 West 132nd Street, 322",3500,1 MONTH MIN,Immediate,"Aug 02, 2019",2,1,Furnished Only,[],Short Term Rental,Agent/Broker [New York Habitat],Rental building,Not Sure,The poster of this listing is charging a brokerage fee.,Central Harlem, Manhattan,"{'lat': 40.8112333, 'lng': -73.94036779999999}"
5312,https://www.leasebreak.com/short-term-rental-details/135494/635-west-42nd-street,"635 West 42nd Street, 19S",3500,3 MONTH MIN,Immediate,"Oct 01, 2019",1,1,Unfurnished Only,"['Washer / Dryer', 'Doorman', 'Elevator', 'Pet Friendly', 'High-rise']",Short Term Rental,Agent/Broker [River 2 River Realty Inc.],,Condo,Probably. Please confirm.,Midtown West, Manhattan,"{'lat': 40.7615258, 'lng': -73.9994336}"
5313,https://www.leasebreak.com/short-term-rental-details/154950/228-bleecker-street,"228 Bleecker Street, 23",3500,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",2,1,Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Douglas Elliman],,Condop,Probably. Please confirm.,Greenwich Village / Noho, Manhattan,"{'lat': 40.73011, 'lng': -74.002515}"
5314,https://www.leasebreak.com/short-term-rental-details/79687/175-west-12th-street,"175 West 12th Street, 10-K",3500,12 MONTH MIN,"Aug 01, 2019","Jul 31, 2020",Studio,1,Unfurnished Only,"['Elevator', 'Doorman', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Compass],550,,Condo,Greenwich Village / Noho, Manhattan,"{'lat': 40.7374003, 'lng': -74.00015069999999}"
5315,https://www.leasebreak.com/short-term-rental-details/132169/152-east-35th-street,"152 East 35th Street, 6A",3500,12 MONTH MIN,Immediate,"Jun 29, 2020",2,1,Unfurnished Only,"['Pet Friendly', 'Elevator']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],700,,Coop,Murray Hill / Kips Bay, Manhattan,"{'lat': 40.7465308, 'lng': -73.97848239999999}"
5316,https://www.leasebreak.com/short-term-rental-details/152907/144-west-46th-street,"144 West 46th Street, 5-F",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Triplemint],,Townhouse/house,Probably. Please confirm.,Midtown West, Manhattan,"{'lat': 40.7579774, 'lng': -73.9841702}"
5317,https://www.leasebreak.com/short-term-rental-details/142924/322-west-57th-street,"322 West 57th Street, 42E",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",Studio,1,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly', 'Gym', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Brown Harris Stevens],661,,Condo,Midtown West, Manhattan,"{'lat': 40.7669315, 'lng': -73.9842326}"
5318,https://www.leasebreak.com/short-term-rental-details/149836/20-pine-street,"20 Pine Street, 1803",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",Studio,1,Unfurnished Only,"['Washer / Dryer', 'Doorman', 'Elevator', 'Pet Friendly', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],656,,Condo,Financial District, Manhattan,"{'lat': 40.707729, 'lng': -74.0097327}"
5319,https://www.leasebreak.com/short-term-rental-details/40012/420-east-61st-street,420 East 61st Street,3500,5 MONTH MIN,Immediate,"Dec 01, 2019",Studio,1,Furnished Only,"['Renovated', 'Superb Views', 'Exceptional Light', 'Private Outdoor Space', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Short Term Rental,Tenant/Renter ,,Rental building,No,Upper East Side, Manhattan,"{'lat': 40.7600931, 'lng': -73.9598414}"
5320,https://www.leasebreak.com/short-term-rental-details/145997/305-west-18th-street,"305 West 18th Street, 2-C",3500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Furnished Only,"['Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Compass],"Zachary Hassan, (646) 319-XXXXClick to view",545,,Chelsea / Hudson Yards, Manhattan,"{'lat': 40.7404268, 'lng': -73.99683019999999}"
